,date,NH3,NH4,HNO3,SO4,SO2,day.type,pressure,RH,temperature,SWD,pm10,pm25,CS
341,2017/09/07,0.226205363,0.017455558,0.034911116,0.061001092,0.015250273,Non,955.0833333333334,71.78333333333333,5.1625000000000005,21.3785,16.7844180578876,16.7844180578876,0.01618515
342,2017/09/08,0.156603713,0.017455558,0.052366674,0.274504912,0.472758459,Non,957.8708333333334,87.03333333333335,6.2250000000000005,24.731291666666664,11.2965168643817,11.2965168643817,0.0019912
343,2017/09/09,0.156603713,0.017455558,0.034911116,0.144877592,0.373631686,Non,957.5083333333333,88.14999999999999,3.283333333333333,32.67016666666667,26.3650312637111,26.3650312637111,0.017561
344,2017/09/10,0.1392033,0.017455558,0.052366674,0.053375955,0.488008732,Non,954.725,64.39166666666667,3.4791666666666665,90.95345833333333,9.16750834444921,9.16750834444921,0.00551195
345,2017/09/11,0.226205363,0.017455558,0.052366674,0.015250273,0.144877592,Non,952.0916666666667,68.36666666666666,2.9916666666666667,86.17570833333333,1.79917103537309,1.79917103537309,0.00115775
346,2017/09/12,0.208804951,0.017455558,0.034911116,0.015250273,0.259254639,Non,952.6333333333333,64.10416666666667,2.6333333333333333,79.995125,1.83646770754305,1.83646770754305,0.0016468
347,2017/09/13,0.087002063,0.017455558,0.052366674,0.10675191,0.427007641,Non,958.5666666666666,64.28333333333333,1.5333333333333332,74.51670833333334,2.0888998400552,2.0888998400552,0.0016006
348,2017/09/14,0.017400413,0.0,0.0,0.030500546,0.045750819,Non,963.2624999999999,64.65416666666667,0.8250000000000001,71.52925,42.8790221130075,42.8790221130075,0.02207355
349,2017/09/15,0.1392033,0.017455558,0.052366674,0.23637923,0.350756276,Non,959.4875000000001,62.125,1.0250000000000001,63.37775,32.6637291105345,32.6637291105345,0.02058795
350,2017/09/16,0.174004125,0.017455558,0.034911116,0.030500546,0.053375955,Non,951.5541666666667,85.97916666666667,-0.8041666666666667,15.466499999999998,5.40472752204496,5.40472752204496,0.00449545
351,2017/09/17,0.174004125,0.017455558,0.052366674,0.061001092,0.068626228,Non,951.6416666666668,87.92916666666667,1.6125,33.93470833333333,1.23525779965513,1.23525779965513,0.00063545
